,ADJDE,ADJOE,ADJ_T,BARTHAG,CONF,EFG_D,EFG_O,FTR,FTRD,G,ORB,POSTSEASON,RK,SEED,TEAM,THREEP_D,THREEP_O,TOR,TORD,TWOP_D,TWOP_O,W,WAB,LONGITUD,LATITUDE
0,94.3,121.3,72.0,0.9472,WCC,47.6,57.5,38.8,21.8,33,33.6,1,3,1.0,Gonzaga,32.0,38.6,15.3,18.4,47.4,57.4,31,7.7,-117.400625,47.666531
1,93.4,119.5,67.5,0.9445,A10,46.6,59.7,33.9,30.9,31,26.4,2,4,1.0,Dayton,33.0,37.1,18.0,18.8,45.1,62.3,29,6.8,-84.176113,39.739546999999995
2,92.8,113.8,64.7,0.9119,MWC,45.2,54.6,28.3,30.6,31,28.2,4,10,3.0,San Diego St.,30.1,37.9,16.2,21.3,45.3,53.0,30,6.7,-117.071228,32.77525
3,87.7,116.1,67.4,0.9616,B12,43.7,53.7,35.8,23.2,30,32.6,4,1,1.0,Kansas,30.5,34.1,18.7,18.6,42.4,54.9,28,10.8,-95.247567,38.958549
4,88.4,114.5,66.2,0.9513,B12,45.2,49.4,30.8,30.8,30,35.8,8,2,1.0,Baylor,31.1,35.1,17.8,22.7,44.4,47.5,26,8.5,-97.121041,31.546871999999997
5,96.0,115.9,69.4,0.8973,WCC,49.0,58.1,23.4,27.9,31,20.6,8,17,5.0,BYU,30.3,41.9,15.5,18.2,50.8,54.8,24,2.7,-111.649281,40.250851000000004
6,97.4,117.5,65.2,0.8968,P12,47.3,54.3,28.9,29.5,31,32.7,8,18,5.0,Oregon,32.6,39.6,17.5,19.8,46.2,51.4,24,4.7,-123.07579199999999,44.045146
7,94.7,112.6,67.1,0.8797,B10,46.1,48.6,37.7,24.2,31,31.5,8,26,7.0,Maryland,32.5,31.1,16.7,17.3,44.5,50.1,24,6.8,-76.944721,38.988178000000005
8,91.9,115.3,71.7,0.931,ACC,45.7,52.6,35.6,30.9,31,34.8,16,6,2.0,Duke,29.9,35.2,17.8,20.2,46.0,52.5,25,5.1,-78.937624,36.001135
9,96.4,120.6,68.3,0.9289,BE,48.4,55.2,28.8,23.4,30,23.9,16,7,2.0,Creighton,31.8,38.7,15.9,17.6,48.9,53.0,24,6.1,-95.947811,41.265361
10,92.6,114.6,66.2,0.92,B10,46.2,52.3,36.7,29.3,31,31.1,16,8,2.0,Ohio St.,32.7,37.3,19.1,18.3,44.2,49.7,21,3.8,-83.014853,39.999324
11,93.9,115.1,66.9,0.912,ACC,45.1,52.5,32.2,29.0,31,32.0,16,9,3.0,Louisville,30.1,37.6,18.0,17.4,45.1,50.1,24,4.3,-85.760412,38.216862
12,93.7,114.0,66.2,0.9045,BE,48.2,52.6,26.9,23.6,31,25.7,16,11,3.0,Villanova,32.5,35.9,16.0,16.9,47.9,51.5,24,6.8,-75.340502,40.036463
13,92.2,112.1,65.7,0.9041,Amer,43.9,48.0,32.9,41.6,31,38.7,16,12,3.0,Houston,28.6,33.7,17.8,18.2,44.5,46.6,23,2.7,-95.343537,29.720392999999998
14,92.0,110.9,63.5,0.8952,B10,46.4,50.3,26.9,25.3,31,24.1,16,19,5.0,Wisconsin,33.1,35.2,15.4,16.9,44.9,48.3,21,4.2,-89.404098,43.075409
15,92.5,111.2,69.9,0.8921,ACC,47.0,51.9,30.1,34.4,31,33.5,32,20,5.0,Florida St.,31.7,35.1,18.9,23.7,46.6,51.5,26,6.9,-84.291921,30.440756
16,93.5,112.2,69.8,0.8913,BE,45.7,51.4,34.8,32.4,30,29.1,32,21,6.0,Seton Hall,32.0,33.5,18.6,19.5,44.4,52.3,21,4.6,-74.246027,40.742336
17,94.4,111.9,66.8,0.8764,B10,45.6,49.4,27.5,28.0,31,31.3,32,27,7.0,Minnesota,30.7,33.7,16.7,15.8,45.4,48.6,15,-1.5,-93.23546400000001,44.972851
18,93.3,108.1,67.9,0.8444,B10,47.9,49.3,39.2,32.6,32,32.4,32,36,9.0,Indiana,32.2,32.6,18.3,17.8,47.6,49.5,20,1.8,-86.52655899999999,39.166090000000004
19,98.6,113.5,68.0,0.8345,ACC,48.3,50.5,35.7,30.2,32,29.6,32,44,11.0,Syracuse,32.2,32.9,16.5,20.3,48.3,51.4,18,-2.7,-76.136975,43.040176
20,91.2,110.9,69.3,0.904,P12,45.3,50.7,36.7,35.2,32,30.7,32,13,4.0,Arizona,31.2,35.2,16.7,20.6,44.4,49.6,21,0.8,-110.95081499999999,32.232671999999994
21,93.1,113.0,68.6,0.9028,B10,46.9,52.8,26.7,26.4,31,25.0,32,14,4.0,Michigan,32.3,33.9,15.3,16.1,46.3,54.1,19,2.8,-83.742769,42.275921000000004
